split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8836666666666667, eval_accuracy=0.9347962962962963
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9668333333333333, eval_accuracy=0.9485740740740741
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.91775, eval_accuracy=0.9520625
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.974, eval_accuracy=0.9590833333333333
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9439333333333333, eval_accuracy=0.9669333333333333
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9795, eval_accuracy=0.9689666666666666
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9510625, eval_accuracy=0.9715833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9814166666666667, eval_accuracy=0.9729166666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9526296296296296, eval_accuracy=0.98
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9807407407407407, eval_accuracy=0.981
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8878333333333334, eval_accuracy=0.9360740740740741
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9686666666666667, eval_accuracy=0.9461851851851852
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9151666666666667, eval_accuracy=0.9515208333333334
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9731666666666666, eval_accuracy=0.9597291666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9419333333333333, eval_accuracy=0.9660666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9797666666666667, eval_accuracy=0.9693333333333334
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9510833333333333, eval_accuracy=0.972
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.9811458333333334, eval_accuracy=0.9739166666666667
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9532037037037037, eval_accuracy=0.9791666666666666
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9807592592592592, eval_accuracy=0.98
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8786666666666667, eval_accuracy=0.9362222222222222
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9685, eval_accuracy=0.9477592592592593
split=0.2, train_len=12000, eval_len=48000, epoch=0, train_accuracy=0.9174166666666667, eval_accuracy=0.9504791666666667
split=0.2, train_len=12000, eval_len=48000, epoch=1, train_accuracy=0.9735, eval_accuracy=0.9587291666666666
split=0.5, train_len=30000, eval_len=30000, epoch=0, train_accuracy=0.9431, eval_accuracy=0.9659666666666666
split=0.5, train_len=30000, eval_len=30000, epoch=1, train_accuracy=0.9794, eval_accuracy=0.9688333333333333
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9512708333333333, eval_accuracy=0.9720833333333333
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.980875, eval_accuracy=0.97425
split=0.9, train_len=54000, eval_len=6000, epoch=0, train_accuracy=0.9519074074074074, eval_accuracy=0.9796666666666667
split=0.9, train_len=54000, eval_len=6000, epoch=1, train_accuracy=0.9813333333333333, eval_accuracy=0.9806666666666667
split=0.1, train_len=6000, eval_len=54000, epoch=0, train_accuracy=0.8895, eval_accuracy=0.937962962962963
split=0.1, train_len=6000, eval_len=54000, epoch=1, train_accuracy=0.9715, eval_accuracy=0.9488518518518518
split=0.1, train_len=6000, eval_len=54000, epoch=2, train_accuracy=0.9843333333333333, eval_accuracy=0.9521111111111111
split=0.1, train_len=6000, eval_len=54000, epoch=3, train_accuracy=0.9911666666666666, eval_accuracy=0.9531666666666667
split=0.8, train_len=48000, eval_len=12000, epoch=0, train_accuracy=0.9503125, eval_accuracy=0.9725833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=1, train_accuracy=0.980875, eval_accuracy=0.97375
split=0.8, train_len=48000, eval_len=12000, epoch=2, train_accuracy=0.9886666666666667, eval_accuracy=0.9755833333333334
split=0.8, train_len=48000, eval_len=12000, epoch=3, train_accuracy=0.9940625, eval_accuracy=0.9756666666666667
